"","latitude","longitude","Postal address","Postcode","Industry/Sectors","Premises Name"
"Annabel's","51.51","-0.15","44 Berkeley Square, Mayfair","W1J 5QB","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Annabel's"
"Asprey","51.51","-0.14","167 New Bond Street","W1S 4AY","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Asprey"
"Bond Street","51.51","-0.14","New Bond Street","W1S 2YF","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Bond Street"
"Buckingham Palace","51.50","-0.14","","SW1A 1AA","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Buckingham Palace"
"Brooks's","51.51","-0.14","60 St James's Street","SW1A 1LN","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Brooks's"
"Boodle's","51.51","-0.14","28 St James's Street","SW1A 1HJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Boodle's"
"Carlton Club","51.51","-0.14","69 St James's Street","SW1A 1PJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Carlton Club"
"Claridge's","51.51","-0.15","49 Brook Street","W1K 4HR","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Claridge's"
"Fortnum and Mason","51.51","-0.14","181 Piccadilly","W1A 1ER","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Fortnum and Mason"
"Naval and Military Club","49.94","10.18","4 St James's Square","SW1 4JU","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Naval and Military Club"
"The Ritz","51.51","-0.14","150 Piccadilly","W1J 9BS","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","The Ritz"
"Tramp","51.51","-0.14","40 Jermyn Street","SW1Y 6DN","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), The rich","Tramp"
"BP","51.51","-0.13","1 St James's Square","SW1Y 4PD","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","BP"
"Saudi Arabia Embassy","51.51","-0.15","30 Charles Street","W1J 5DZ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Foreign governments","Saudi Arabia Embassy"
"Arcelormittal","51.51","-0.14","7th Flr, Berkeley Sq Hse, Berkeley Sq","W1J 6DA","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Arcelormittal"
"Antofagasta","51.51","-0.14","Cleveland Hse, 33 King St, London","SW1Y 6RJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Antofagasta"
"BHP Billiton","51.49","-0.14","Neat House Plc, London,","SW1V 1BH","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","BHP Billiton"
"GCM Resources","51.51","-0.14","2nd Flr, Foxglove Hse, 166 – 168 Piccadilly, London","W1J 9EF","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","GCM Resources"
"Glencore","51.51","-0.14","50 Berkeley St, London,","W1J 8HD","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Glencore"
"Lonmin","51.50","-0.15","4-5 Grosvenor Plc, London","SW1X 7YL","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Lonmin"
"Tata","51.50","-0.15","18 Grosvenor Plc, London","SW1X 7HS","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Tata"
"Vedanta","51.51","-0.14","16 Berkeley St, London","W1J 8DZ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Vedanta"
"Xstrata","51.51","-0.14","1st Flr, Almack Hse, 26-28 King St, London","SW1Y 6QW","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Xstrata"
"Clean Coal","51.51","-0.14","Third Flr, 15 Poland St, London","W1F 8QE","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Clean Coal"
"Cluff Natural Resources","51.50","-0.13","Third Flr, 5-8 The Sanctuary, London","SW1P 3JS","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Cluff Natural Resources"
"Astrazeneca Insurance, Investment and Finance","51.51","-0.15","15 Stanhope Gate, London","W1K 1LN","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>)","Astrazeneca Insurance, Investment and Finance"
"Babcock International Group","51.52","-0.15","33 Wigmore St, London","W1U 1QX","Arms, Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Babcock International Group"
"BAE Systems","51.51","-0.13","Stirling Square, 6 Carlton Gardens, London","SW1Y 5AD","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","BAE Systems"
"Finmeccanica UK","51.50","-0.13","8-10 Great George St, London,","SW1P 3AE","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Finmeccanica UK"
"General Dynamics UK","51.50","-0.14","11-12 Buckingham Gate, London","SW1E 6LB","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","General Dynamics UK"
"Lockheed Martin UK","51.51","-0.13","Cunard Hse, 15 Lower Regent St, London","SW1Y 4LR","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Lockheed Martin UK"
"Northrop Grumman UK Ltd","51.51","-0.13","Clareville Hse, Oxendon St, London","SW1Y 4EL","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Northrop Grumman UK Ltd"
"Rolls-Royce Group PLC","51.50","-0.14","65 Buckingham Gate, London","SW1E 6AT","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Rolls-Royce Group PLC"
"QinetiQ","51.51","-0.13","Chandos Plc, 53 Chandos Plc, Covent Garden, London","WC2N 4HS","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","QinetiQ"
"MBDA","51.51","-0.13","11 Strand, London","WC2N 5RJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","MBDA"
"L-3","51.51","-0.13","Amadeus Hse, 27b Floral St, Covent Garden, London","WC2E 9DP","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","L-3"
"SAAB","51.52","-0.17","Sentinel Hse, 16 Harcourt St, London","W1H 4AD","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","SAAB"
"Thales","51.51","-0.13","4 Carlton Gardens, London","SW1Y 5AA","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Companies","Thales"
"Bank Leumi","51.51","-0.15","20 Stratford Place","W1C 1BG","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Banks, Israeli apartheid, militarism and occupation","Bank Leumi"
"Barclays Private Banking","51.51","-0.15","41-43 Brook St, London","W1K 4HJ","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Banks","Barclays Private Banking"
"Citigroup Private Bank","51.51","-0.15","41 Berkeley Square, London","W1J 5AN","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Banks","Citigroup Private Bank"
"Qatar National Bank (QNB)","51.51","-0.15","51 Grosvenor St, London","W1K 3HH","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Banks","Qatar National Bank (QNB)"
"Riyad Bank","51.51","-0.15","17B Curzon St, London","W1J 5HX","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Banks","Riyad Bank"
"Samba Financial Group","51.51","-0.14","Nightingale House, 65 Curzon St, London","W1J 8PD","Mapping Capitalist London (Hosted by Corporate Watch for Stop G8</a>), Financial Institutions, Banks, Foreign governments","Samba Financial Group"
